"time","close","high","low","open","volumefrom","volumeto","symbol"
2017-09-22 02:00:00,3600.83,3753.51,3505.81,3617.27,114717.36,414612501.81,"BTC"
2017-09-23 02:00:00,3788.02,3813.39,3563.18,3600.83,67820.32,253370774.72,"BTC"
2017-09-24 02:00:00,3667.52,3790.89,3633.88,3788.02,49661.76,183852135.74,"BTC"
2017-09-25 02:00:00,3932.83,3971.5,3665.67,3667.52,100194.7,386674961.65,"BTC"
2017-09-26 02:00:00,3892.7,3982.31,3858.75,3932.83,63252.3,248481868.86,"BTC"
2017-09-27 02:00:00,4212.2,4232.35,3882.08,3892.7,117596.07,480358673.93,"BTC"
2017-09-28 02:00:00,4195.65,4274.64,4112.88,4212.2,92228.17,386909537.01,"BTC"
2017-09-29 02:00:00,4172.79,4237.51,4030.37,4195.65,97803.91,404599756.28,"BTC"
2017-09-30 02:00:00,4360.62,4383.27,4164.25,4172.79,67493.68,290796939.99,"BTC"
2017-10-01 02:00:00,4403.09,4412.62,4258.32,4360.62,60583.85,262485153.92,"BTC"
2017-10-02 02:00:00,4401.32,4477.38,4364.67,4403.09,71201.48,314621927.61,"BTC"
2017-10-03 02:00:00,4314.18,4435.99,4230.73,4401.32,81867.3,353046057.47,"BTC"
2017-10-04 02:00:00,4218.66,4355.29,4183.57,4314.18,64081.96,272424730.47,"BTC"
2017-10-05 02:00:00,4321.44,4365.76,4143.35,4218.66,63613.2,271914958.4,"BTC"
2017-10-06 02:00:00,4371.94,4422.15,4296.93,4321.44,61692.93,269878225.69,"BTC"
2017-10-07 02:00:00,4435.81,4472.92,4319.48,4371.94,40202.08,176332039.12,"BTC"
2017-10-08 02:00:00,4611.7,4622.87,4419.36,4435.81,71366.95,323063950.84,"BTC"
2017-10-09 02:00:00,4777.49,4875.38,4556.15,4611.7,110191.77,518586828.49,"BTC"
2017-10-10 02:00:00,4763.36,4930,4722.81,4777.49,98485,475717720.64,"BTC"
2017-10-11 02:00:00,4824.2,4874.89,4718.6,4763.36,70482.75,338533507.33,"BTC"
2017-10-12 02:00:00,5432.62,5432.63,4814.98,4824.2,163916.09,848641969.34,"BTC"
2017-10-13 02:00:00,5637.26,5852.78,5391.97,5432.62,215018.92,1211469140.96,"BTC"
2017-10-14 02:00:00,5824.71,5839.62,5568.86,5637.26,76224.35,434406119.95,"BTC"
2017-10-15 02:00:00,5688.14,5862.69,5448.22,5824.71,101636.95,571166215.25,"BTC"
2017-10-16 02:00:00,5759.33,5795.33,5576.1,5677.35,61358.95,349154669.33,"BTC"
2017-10-17 02:00:00,5598.58,5773.32,5521.09,5759.25,65637.43,368658284.35,"BTC"
2017-10-18 02:00:00,5575.83,5601.3,5114.87,5598.58,122020.31,654722509.03,"BTC"
2017-10-19 02:00:00,5698.65,5737.41,5517.62,5576.71,83056.09,469774559.06,"BTC"
2017-10-20 02:00:00,5993.11,6075.32,5611.39,5698.62,123860.51,729487923.01,"BTC"
2017-10-21 02:00:00,6006.65,6187.2,5874.54,5993.11,112943.89,684989667.22,"BTC"
2017-10-22 02:00:00,5982.86,6070.56,5722.98,6006.65,105030.93,618893096.8,"BTC"
2017-10-23 02:00:00,5903.61,6048.98,5644.22,5982.86,137140.4,801148315.46,"BTC"
2017-10-24 02:00:00,5513.08,5904.63,5463.41,5903.61,143735.81,811951129.66,"BTC"
2017-10-25 02:00:00,5734,5747.96,5375.64,5513.08,105839.48,585738379.88,"BTC"
2017-10-26 02:00:00,5887.61,5970.4,5689.92,5734,93675.55,547664553.57,"BTC"
2017-10-27 02:00:00,5764.56,5997.83,5692.32,5887.62,83933.5,488283724.04,"BTC"
2017-10-28 02:00:00,5726.61,5871.04,5654.8,5764.56,53232.17,305611140.99,"BTC"
2017-10-29 02:00:00,6147.52,6295.43,5679.37,5726.61,163055.75,966990808.93,"BTC"
2017-10-30 01:00:00,6124.28,6226.18,6018.97,6147.7,78624.31,481600502.95,"BTC"
2017-10-31 01:00:00,6451.24,6467.2,6090.83,6124.28,101249.62,637838767.02,"BTC"
2017-11-01 01:00:00,6737.78,6738.74,6355,6449.1,133191.93,869798619.79,"BTC"
