"time","high","low","open","volumefrom","volumeto","close","symbol"
2017-12-02 01:00:00,0.2128,0.06548,0.2128,44200,7138.3,0.1615,"PRS"
2017-12-03 01:00:00,0.1844,0.0596,0.1664,436600,43210.3,0.09897,"PRS"
2017-12-04 01:00:00,0.1744,0.08485,0.1023,389300,45236.66,0.1162,"PRS"
2017-12-05 01:00:00,0.245,0.1027,0.1167,602700,127290.24,0.2112,"PRS"
2017-12-06 01:00:00,0.2709,0.2062,0.2489,175700,36721.3,0.209,"PRS"
2017-12-07 01:00:00,0.2999,0.1651,0.2561,964000,233866.4,0.2426,"PRS"
2017-12-08 01:00:00,0.2327,0.1605,0.2311,270500,52098.3,0.1926,"PRS"
2017-12-09 01:00:00,0.2167,0.1484,0.1781,310100,58919,0.19,"PRS"
2017-12-10 01:00:00,0.2108,0.1717,0.1928,156800,30701.44,0.1958,"PRS"
2017-12-11 01:00:00,0.2259,0.1506,0.2175,794400,164838,0.2075,"PRS"
2017-12-12 01:00:00,0.2204,0.1896,0.2118,266600,56012.66,0.2101,"PRS"
2017-12-13 01:00:00,0.202,0.1661,0.2003,416800,80775.84,0.1938,"PRS"
2017-12-14 01:00:00,0.2042,0.1696,0.196,188200,37188.32,0.1976,"PRS"
2017-12-15 01:00:00,0.2113,0.1602,0.2113,1099100,212895.67,0.1937,"PRS"
2017-12-16 01:00:00,0.2167,0.176,0.2128,219600,38649.6,0.176,"PRS"
2017-12-17 01:00:00,0.2078,0.1659,0.1735,216800,41343.76,0.1907,"PRS"
2017-12-18 01:00:00,0.1992,0.1708,0.1897,451200,86449.92,0.1916,"PRS"
2017-12-19 01:00:00,0.2173,0.1735,0.177,915800,174917.8,0.191,"PRS"
2017-12-20 01:00:00,0.1943,0.1663,0.1794,114100,22169.63,0.1943,"PRS"
2017-12-21 01:00:00,0.4096,0.161,0.1845,285636,54013.77,0.1891,"PRS"
2017-12-22 01:00:00,0.2186,0.1517,0.1653,297400,65011.64,0.2186,"PRS"
2017-12-23 01:00:00,0.2735,0.2102,0.2303,237933.88,52749.94,0.2217,"PRS"
2017-12-24 01:00:00,0.2344,0.1944,0.2124,84100,18787.94,0.2234,"PRS"
2017-12-25 01:00:00,0.2352,0.1798,0.2241,82402.91,19150.44,0.2324,"PRS"
2017-12-26 01:00:00,0.2647,0.2363,0.2647,111706.33,29043.65,0.26,"PRS"
2017-12-27 01:00:00,0.2698,0.2251,0.2544,202857.05,46596.26,0.2297,"PRS"
2017-12-28 01:00:00,0.2436,0.1656,0.2145,78944.99,14091.68,0.1785,"PRS"
2017-12-29 01:00:00,0.2404,0.1785,0.1785,89531.61,20359.49,0.2274,"PRS"
2017-12-30 01:00:00,0.2193,0.1917,0.198,90918.48,19365.64,0.213,"PRS"
2017-12-31 01:00:00,0.2424,0.2188,0.2355,72511.53,17076.47,0.2355,"PRS"
2018-01-01 01:00:00,0.2407,0.2044,0.2286,140700,32164.02,0.2286,"PRS"
2018-01-02 01:00:00,0.2656,0.2508,0.2508,45606,12026.3,0.2637,"PRS"
2018-01-03 01:00:00,0.682,0.2708,0.2708,4,2.73,0.682,"PRS"
2018-01-04 01:00:00,0.8729,0.6831,0.6831,5.94,5.09,0.8577,"PRS"
2018-01-05 01:00:00,0.9579,0.1989,0.9579,1399.61,1133.12,0.8096,"PRS"
2018-01-06 01:00:00,0.82,0.2069,0.82,895.83,370.78,0.4139,"PRS"
2018-01-07 01:00:00,0.3911,0.3911,0.3911,0,0,0.3911,"PRS"
2018-01-08 01:00:00,0.6964,0.3609,0.3609,2.15,1.5,0.6964,"PRS"
2018-01-09 01:00:00,0.6728,0.6728,0.6728,0,0,0.6728,"PRS"
2018-01-10 01:00:00,0.6938,0.6938,0.6938,0,0,0.6938,"PRS"
2018-01-11 01:00:00,0.865,0.5583,0.6188,20.93,11.69,0.5583,"PRS"
2018-01-12 01:00:00,0.5806,0.5806,0.5806,0,0,0.5806,"PRS"
2018-01-13 01:00:00,0.7834,0.5975,0.5975,24.18,14.45,0.5976,"PRS"
2018-01-14 01:00:00,0.7501,0.5723,0.5723,67.96,38.89,0.5723,"PRS"
2018-01-15 01:00:00,0.7498,0.572,0.572,283.12,164.15,0.5798,"PRS"
2018-01-16 01:00:00,0.9026,0.325,0.4798,14768.3,7429.93,0.5031,"PRS"
2018-01-17 01:00:00,0.5358,0.3255,0.4977,1520.9,814.9,0.5358,"PRS"
2018-01-18 01:00:00,0.5588,0.3258,0.336,563.59,201.03,0.3567,"PRS"
2018-01-19 01:00:00,0.4606,0.3678,0.3678,500.06,184.02,0.368,"PRS"
2018-01-20 01:00:00,0.5066,0.4045,0.4045,209.63,94.35,0.4565,"PRS"
2017-12-01 01:00:00,0.06001,0.05862,0.05908,11816.92,692.71,0.05862,"BCDN"
2017-12-02 01:00:00,0.05816,0.05267,0.05816,117336.95,6716.37,0.05724,"BCDN"
2017-12-03 01:00:00,0.06294,0.05693,0.05785,407722.81,25662.07,0.06294,"BCDN"
2017-12-04 01:00:00,0.1079,0.06257,0.06304,1460098.23,134314.44,0.09199,"BCDN"
2017-12-05 01:00:00,0.09079,0.0808,0.08943,272514.13,23133.72,0.08489,"BCDN"
2017-12-06 01:00:00,0.08323,0.0752,0.079,405431.52,30658.73,0.07562,"BCDN"
2017-12-07 01:00:00,0.07791,0.06528,0.07539,249027.98,16256.55,0.06528,"BCDN"
2017-12-08 01:00:00,0.0768,0.06686,0.07002,181789.42,13877.8,0.07634,"BCDN"
2017-12-09 01:00:00,0.08228,0.07046,0.07991,127903.57,10523.91,0.08228,"BCDN"
2017-12-10 01:00:00,0.08686,0.07202,0.07595,282707.38,23815.27,0.08424,"BCDN"
2017-12-11 01:00:00,0.1021,0.09239,0.09906,222719.51,20577.06,0.09239,"BCDN"
2017-12-12 01:00:00,0.1221,0.09651,0.1182,226718.82,21880.63,0.09651,"BCDN"
2017-12-13 01:00:00,0.1028,0.0783,0.1028,169080.9,13357.39,0.079,"BCDN"
2017-12-14 01:00:00,0.1061,0.06866,0.07837,130333.62,12023.28,0.09225,"BCDN"
2017-12-15 01:00:00,0.09101,0.08006,0.09101,216799.03,19136.85,0.08827,"BCDN"
2017-12-16 01:00:00,0.1012,0.08799,0.08938,128007.95,11884.26,0.09284,"BCDN"
2017-12-17 01:00:00,0.1055,0.08828,0.09617,301706.56,31830.04,0.1055,"BCDN"
2017-12-18 01:00:00,0.1155,0.1053,0.1155,141546.85,16023.1,0.1132,"BCDN"
2017-12-19 01:00:00,0.1178,0.104,0.117,439246.5,47131.15,0.1073,"BCDN"
2017-12-20 01:00:00,0.1614,0.1031,0.1055,589756.29,82978.71,0.1407,"BCDN"
2017-12-21 01:00:00,0.1563,0.1287,0.15,270570.41,39503.28,0.146,"BCDN"
2017-12-22 01:00:00,0.1224,0.09341,0.1217,366551.17,41237.01,0.1125,"BCDN"
2017-12-23 01:00:00,0.1506,0.1177,0.1198,320593.88,47832.61,0.1492,"BCDN"
2017-12-24 01:00:00,0.2366,0.1196,0.144,500527.45,103509.08,0.2068,"BCDN"
2017-12-25 01:00:00,0.2806,0.1938,0.2097,432924.33,97061.63,0.2242,"BCDN"
2017-12-26 01:00:00,0.278,0.232,0.2336,98396.73,25720.91,0.2614,"BCDN"
2017-12-27 01:00:00,0.259,0.2175,0.2568,114812.52,28117.59,0.2449,"BCDN"
2017-12-28 01:00:00,0.2372,0.1706,0.2372,108621.17,20236.12,0.1863,"BCDN"
2017-12-29 01:00:00,0.2145,0.1642,0.1923,92346.27,18986.39,0.2056,"BCDN"
2017-12-30 01:00:00,0.1933,0.158,0.1927,37897.7,7143.72,0.1885,"BCDN"
2017-12-31 01:00:00,0.1964,0.1697,0.1816,30294.66,5928.66,0.1957,"BCDN"
2018-01-01 01:00:00,0.2034,0.1732,0.1996,27218.59,4795.92,0.1762,"BCDN"
2018-01-02 01:00:00,0.2181,0.1724,0.2181,54374.13,10032.03,0.1845,"BCDN"
2018-01-03 01:00:00,0.2362,0.1882,0.2014,88666.46,20943.02,0.2362,"BCDN"
2018-01-04 01:00:00,0.2372,0.1814,0.2372,26620.39,5734.03,0.2154,"BCDN"
2018-01-05 01:00:00,0.2524,0.1799,0.2205,101409.56,22360.81,0.2205,"BCDN"
2018-01-06 01:00:00,0.2466,0.1852,0.2305,106901.28,23667.94,0.2214,"BCDN"
2018-01-07 01:00:00,0.3119,0.2113,0.2459,343843.95,93388.02,0.2716,"BCDN"
2018-01-08 01:00:00,0.2761,0.1704,0.2761,302909.09,65731.27,0.217,"BCDN"
2018-01-09 01:00:00,0.2759,0.1818,0.2462,228313.53,52101.15,0.2282,"BCDN"
2018-01-10 01:00:00,0.2248,0.1873,0.2211,84278.7,18212.63,0.2161,"BCDN"
2018-01-11 01:00:00,0.2108,0.1732,0.1971,76926.61,15600.72,0.2028,"BCDN"
2018-01-12 01:00:00,0.227,0.1728,0.2245,193554.37,38072.14,0.1967,"BCDN"
2018-01-13 01:00:00,0.2188,0.1551,0.2161,66337.85,10289,0.1551,"BCDN"
2018-01-14 01:00:00,0.1958,0.1495,0.1523,51466.49,9727.17,0.189,"BCDN"
2018-01-15 01:00:00,0.1944,0.1522,0.1777,72788.89,12286.76,0.1688,"BCDN"
2018-01-16 01:00:00,0.1397,0.09452,0.1386,91762.19,9155.11,0.09977,"BCDN"
2018-01-17 01:00:00,0.1148,0.08402,0.1086,57522.33,6304.45,0.1096,"BCDN"
2018-01-18 01:00:00,0.1276,0.1043,0.1124,62587.66,7291.46,0.1165,"BCDN"
2018-01-19 01:00:00,0.1307,0.1037,0.1193,69074.45,8026.45,0.1162,"BCDN"
2018-01-20 01:00:00,0.1455,0.1216,0.1273,50297.69,6976.29,0.1386,"BCDN"
2017-12-06 01:00:00,0.04812,0.02612,0.02887,13202630,435686.79,0.033,"CAPP"
2017-12-07 01:00:00,0.04718,0.01685,0.04044,9942170,234535.79,0.02359,"CAPP"
2017-12-08 01:00:00,0.02728,0.01123,0.02086,5048410,121515.23,0.02407,"CAPP"
2017-12-09 01:00:00,0.02672,0.0193,0.02227,4558770,101523.81,0.02227,"CAPP"
2017-12-10 01:00:00,0.0241,0.01657,0.02259,4659940,84205.12,0.01807,"CAPP"
2017-12-11 01:00:00,0.02175,0.01673,0.02008,4341270,79922.78,0.01841,"CAPP"
2017-12-12 01:00:00,0.0205,0.01538,0.01879,6897850,129610.6,0.01879,"CAPP"
2017-12-13 01:00:00,0.01792,0.01466,0.01792,3303670,53816.78,0.01629,"CAPP"
2017-12-14 01:00:00,0.01811,0.01317,0.01647,3106880,46043.96,0.01482,"CAPP"
2017-12-15 01:00:00,0.01937,0.01584,0.01584,3577740,62968.22,0.0176,"CAPP"
2017-12-16 01:00:00,0.03482,0.01741,0.01935,8979080,243153.49,0.02708,"CAPP"
2017-12-17 01:00:00,0.0286,0.02097,0.02669,6595490,176033.63,0.02669,"CAPP"
2017-12-18 01:00:00,0.02846,0.02466,0.02656,6008020,159573.01,0.02656,"CAPP"
2017-12-19 01:00:00,0.02629,0.02278,0.02453,5483500,134510.26,0.02453,"CAPP"
2017-12-20 01:00:00,0.02469,0.0214,0.02305,3846020,88650.76,0.02305,"CAPP"
2017-12-21 01:00:00,0.0297,0.02032,0.02188,7787570,194767.13,0.02501,"CAPP"
2017-12-22 01:00:00,0.03143,0.0205,0.02186,9099070,186530.94,0.0205,"CAPP"
2017-12-23 01:00:00,0.02591,0.02016,0.02159,3829010,88182.1,0.02303,"CAPP"
2017-12-24 01:00:00,0.0262,0.02068,0.02206,2040400,53458.48,0.0262,"CAPP"
2017-12-25 01:00:00,0.03597,0.0249,0.0249,5864740,186616.03,0.03182,"CAPP"
2017-12-26 01:00:00,0.04097,0.03151,0.03624,3594370,147261.34,0.04097,"CAPP"
2017-12-27 01:00:00,0.3607,0.03854,0.04008,23773360,2969292.66,0.1249,"CAPP"
2017-12-28 01:00:00,0.1728,0.05759,0.1181,25095900,1806653.84,0.07199,"CAPP"
2017-12-29 01:00:00,0.1028,0.06304,0.07369,5065034.2,435947.49,0.08607,"CAPP"
2017-12-30 01:00:00,0.08546,0.06892,0.07406,3100361.41,231565.99,0.07469,"CAPP"
2017-12-31 01:00:00,0.08255,0.08255,0.08255,0,0,0.08255,"CAPP"
2018-01-01 01:00:00,0.08847,0.07153,0.07395,2760803.93,243502.91,0.0882,"CAPP"
2018-01-02 01:00:00,0.1334,0.08661,0.09089,5847687.13,692950.92,0.1185,"CAPP"
2018-01-03 01:00:00,0.197,0.115,0.1196,8265981.12,1418442.36,0.1716,"CAPP"
2018-01-04 01:00:00,0.3689,0.1696,0.1696,8709397.74,2791361.98,0.3205,"CAPP"
2018-01-05 01:00:00,0.5932,0.3054,0.3722,11212472.46,4372864.26,0.39,"CAPP"
2018-01-06 01:00:00,0.4532,0.3677,0.4006,5639024.68,2323842.07,0.4121,"CAPP"
2018-01-07 01:00:00,0.4701,0.3799,0.3895,6241043.28,2452730.01,0.393,"CAPP"
2018-01-08 01:00:00,0.3946,0.3239,0.3774,4340834.29,1648648.86,0.3798,"CAPP"
2018-01-09 01:00:00,0.3946,0.3187,0.363,4251221.13,1587405.97,0.3734,"CAPP"
2018-01-10 01:00:00,0.4179,0.3763,0.3869,4681906.86,1861526.17,0.3976,"CAPP"
2018-01-11 01:00:00,0.3744,0.3229,0.3591,4853191.8,1598641.38,0.3294,"CAPP"
2018-01-12 01:00:00,0.3682,0.3228,0.3426,2822401.66,941553.19,0.3336,"CAPP"
2018-01-13 01:00:00,0.3653,0.3327,0.3528,5787749.09,2044232.98,0.3532,"CAPP"
2018-01-14 01:00:00,0.4964,0.3328,0.3382,9078480.23,4392168.74,0.4838,"CAPP"
2018-01-15 01:00:00,0.503,0.3817,0.4764,9931265.4,4264485.36,0.4294,"CAPP"
2018-01-16 01:00:00,0.3723,0.3159,0.3609,4699741.36,1512376.77,0.3218,"CAPP"
2018-01-17 01:00:00,0.3293,0.1987,0.3187,7873228.37,2113961.82,0.2685,"CAPP"
2018-01-18 01:00:00,0.3184,0.2655,0.2769,3336859.04,991714.51,0.2972,"CAPP"
2018-01-19 01:00:00,0.315,0.278,0.3009,2330171.08,675749.61,0.29,"CAPP"
2018-01-20 01:00:00,0.3269,0.269,0.3188,2357540.06,715984.92,0.3035,"CAPP"
2017-09-22 02:00:00,0.04832,0.03468,0.03943,28132.13,1044.26,0.03712,"CMT"
2017-09-23 02:00:00,0.05068,0.02841,0.03905,7146.9,250.43,0.03504,"CMT"
2017-09-24 02:00:00,0.1196,0.02758,0.03392,83606.88,8061.38,0.09642,"CMT"
2017-09-25 02:00:00,0.1762,0.04358,0.1034,20719.18,1793.45,0.08656,"CMT"
2017-09-26 02:00:00,0.1056,0.04819,0.08568,22820.81,1599.05,0.07007,"CMT"
2017-09-27 02:00:00,0.1151,0.06196,0.07582,14776.23,1012.62,0.06853,"CMT"
2017-09-28 02:00:00,0.1176,0.05962,0.06826,11944.87,813.45,0.0681,"CMT"
2017-09-29 02:00:00,0.09589,0.04799,0.06772,9506.78,687.91,0.07236,"CMT"
2017-09-30 02:00:00,0.1348,0.0488,0.07561,3647.64,215.68,0.05913,"CMT"
2017-10-01 02:00:00,0.09942,0.04425,0.05971,2992.3,157.04,0.05248,"CMT"
2017-10-02 02:00:00,0.05814,0.0445,0.05246,1701.96,92.89,0.05458,"CMT"
2017-10-03 02:00:00,0.05941,0.03809,0.0535,1462.97,56.24,0.03844,"CMT"
2017-10-04 02:00:00,0.05058,0.03759,0.03759,1609.1,74.13,0.04607,"CMT"
2017-10-05 02:00:00,0.04719,0.03496,0.04719,3243.45,130.91,0.04036,"CMT"
2017-10-06 02:00:00,0.04591,0.03537,0.04083,1830.91,64.76,0.03537,"CMT"
2017-10-07 02:00:00,0.06556,0.03589,0.03589,2710.45,108.09,0.03988,"CMT"
2017-10-08 02:00:00,0.04598,0.03745,0.04146,2846.62,113.04,0.03971,"CMT"
2017-10-09 02:00:00,0.06684,0.04109,0.04113,1007.45,48.85,0.04849,"CMT"
2017-10-10 02:00:00,0.0705,0.02882,0.04835,10615.43,450.52,0.04244,"CMT"
2017-10-11 02:00:00,0.07217,0.03377,0.04298,4599.15,234.1,0.0509,"CMT"
2017-10-12 02:00:00,0.06161,0.04417,0.05731,4176.82,257.33,0.06161,"CMT"
2017-10-13 02:00:00,0.07402,0.04521,0.06393,1854.88,103.32,0.0557,"CMT"
2017-10-14 02:00:00,0.07141,0.03512,0.05755,1763.31,89.96,0.05102,"CMT"
2017-10-15 02:00:00,0.06189,0.03999,0.04983,619.65,33.52,0.05409,"CMT"
2017-10-16 02:00:00,0.0546,0.05183,0.05333,200.83,10.97,0.0546,"CMT"
2017-10-17 02:00:00,0.06153,0.04165,0.04165,484.27,29.8,0.06153,"CMT"
2017-10-18 02:00:00,0.06184,0.04578,0.06184,979.03,49.46,0.05052,"CMT"
2017-10-19 02:00:00,0.05209,0.03829,0.05163,2098.44,82.99,0.03955,"CMT"
2017-10-20 02:00:00,0.05106,0.03902,0.04147,1166.59,49.36,0.04231,"CMT"
2017-10-21 02:00:00,0.06649,0.03916,0.06649,520.21,24.4,0.04691,"CMT"
2017-10-22 02:00:00,0.04433,0.03889,0.04433,764.44,32.66,0.04272,"CMT"
2017-10-23 02:00:00,0.05626,0.02952,0.04215,2159.63,77.01,0.03566,"CMT"
2017-10-24 02:00:00,0.04251,0.0333,0.0333,529.47,17.66,0.03335,"CMT"
2017-10-25 02:00:00,0.03486,0.02959,0.03469,3644.41,127.04,0.03486,"CMT"
2017-10-26 02:00:00,0.05381,0.03586,0.03586,684.15,36.81,0.05381,"CMT"
2017-10-27 02:00:00,0.05269,0.03707,0.05269,1345.09,57.3,0.0426,"CMT"
2017-10-28 02:00:00,0.05595,0.03625,0.04278,3839.84,214.84,0.05595,"CMT"
2017-10-29 02:00:00,0.04893,0.03787,0.04893,3570.67,154.75,0.04334,"CMT"
2017-10-30 01:00:00,0.05346,0.02468,0.04158,9204.91,368.1,0.03999,"CMT"
2017-10-31 01:00:00,0.04213,0.04168,0.04213,128.87,5.41,0.042,"CMT"
2017-11-01 01:00:00,0.04743,0.01967,0.04366,8275.58,162.78,0.01967,"CMT"
2017-11-02 01:00:00,0.07826,0.03456,0.03639,10228.83,425.42,0.04159,"CMT"
2017-11-03 01:00:00,0.05822,0.03354,0.04234,25620.16,1103.2,0.04306,"CMT"
2017-11-04 01:00:00,0.04993,0.03675,0.04433,3072.2,112.9,0.03675,"CMT"
2017-11-05 01:00:00,0.04426,0.03687,0.03687,4297.59,159.44,0.0371,"CMT"
2017-11-06 01:00:00,0.03507,0.03243,0.03466,372.34,12.07,0.03243,"CMT"
2017-11-07 01:00:00,0.03686,0.02862,0.0331,1154.74,41.92,0.0363,"CMT"
2017-11-08 01:00:00,0.03901,0.03417,0.03804,3535.83,133.19,0.03767,"CMT"
2017-11-09 01:00:00,0.0519,0.03657,0.03715,2068.49,76.99,0.03722,"CMT"
2017-11-10 01:00:00,0.03933,0.03375,0.03427,1968.18,76.76,0.039,"CMT"
2017-11-11 01:00:00,0.03766,0.03284,0.03766,571.45,18.87,0.03303,"CMT"
2017-11-12 01:00:00,0.03274,0.03068,0.03274,2184.33,70.1,0.03209,"CMT"
2017-11-13 01:00:00,0.03907,0.03261,0.03561,5398.51,210.92,0.03907,"CMT"
2017-11-14 01:00:00,0.03714,0.02969,0.03714,2496.51,86.95,0.03483,"CMT"
2017-11-15 01:00:00,0.04115,0.03795,0.03846,1135.39,44.33,0.03904,"CMT"
2017-11-16 01:00:00,0.04257,0.04115,0.0421,821.61,33.87,0.04123,"CMT"
2017-11-17 01:00:00,0.04158,0.04042,0.04042,209.85,8.73,0.04158,"CMT"
2017-11-18 01:00:00,0.04606,0.04108,0.04178,1024.11,43.75,0.04272,"CMT"
2017-11-19 01:00:00,0.04729,0.04407,0.0456,72.24,3.18,0.04407,"CMT"
2017-11-20 01:00:00,0.04518,0.03933,0.04518,807.94,35.84,0.04436,"CMT"
