"time","high","low","open","volumefrom","volumeto","close","symbol"
2017-09-22 02:00:00,2.97,2.64,2.71,1187652.38,3337303.19,2.81,"ARK"
2017-09-23 02:00:00,3.31,2.86,2.95,1015992.97,3210537.79,3.16,"ARK"
2017-09-24 02:00:00,3.11,2.95,3.06,453145.88,1359437.64,3,"ARK"
2017-09-25 02:00:00,3.23,3.04,3.22,799624.52,2534809.73,3.17,"ARK"
2017-09-26 02:00:00,3.14,2.9,3.13,746916.08,2203402.44,2.95,"ARK"
2017-09-27 02:00:00,3.4,2.95,3.19,2138111.15,6841955.68,3.2,"ARK"
2017-09-28 02:00:00,3.25,2.83,3.19,1332524.24,3944271.75,2.96,"ARK"
2017-09-29 02:00:00,2.97,2.69,2.94,715887.93,1975850.69,2.76,"ARK"
2017-09-30 02:00:00,3.27,2.84,2.88,1185509.33,3544672.9,2.99,"ARK"
2017-10-01 02:00:00,3.09,2.9,3.02,704377.3,2042694.17,2.9,"ARK"
2017-10-02 02:00:00,2.93,2.68,2.9,788961.62,2201202.92,2.79,"ARK"
2017-10-03 02:00:00,2.8,2.59,2.74,753400.3,2101986.84,2.79,"ARK"
2017-10-04 02:00:00,2.73,2.44,2.73,801039.76,1994589,2.49,"ARK"
2017-10-05 02:00:00,2.75,2.38,2.55,980977.65,2687878.76,2.74,"ARK"
2017-10-06 02:00:00,2.79,2.49,2.78,599759.97,1553378.32,2.59,"ARK"
2017-10-07 02:00:00,2.66,2.51,2.63,405431.27,1025741.11,2.53,"ARK"
2017-10-08 02:00:00,2.65,2.16,2.63,1269797.31,2806252.06,2.21,"ARK"
2017-10-09 02:00:00,2.51,2.05,2.29,1271269.68,3025621.84,2.38,"ARK"
2017-10-10 02:00:00,2.72,2.14,2.38,1381880.28,3592888.73,2.6,"ARK"
2017-10-11 02:00:00,3.03,2.61,2.63,1136475.07,3216224.45,2.83,"ARK"
2017-10-12 02:00:00,3.31,2.64,3.19,1031736.77,2744419.81,2.66,"ARK"
2017-10-13 02:00:00,2.91,2.53,2.76,1064715.54,2800201.87,2.63,"ARK"
2017-10-14 02:00:00,3.22,2.68,2.72,987590.24,2804756.28,2.84,"ARK"
2017-10-15 02:00:00,3.01,2.67,2.77,547174.6,1564919.36,2.86,"ARK"
2017-10-16 02:00:00,2.94,2.65,2.9,508068.55,1407349.88,2.77,"ARK"
2017-10-17 02:00:00,2.88,2.63,2.68,619674.47,1747482.01,2.82,"ARK"
2017-10-18 02:00:00,3.03,2.72,2.81,545685.74,1538833.79,2.82,"ARK"
2017-10-19 02:00:00,2.94,2.74,2.89,579129.04,1662100.34,2.87,"ARK"
2017-10-20 02:00:00,3.21,2.74,3.02,839938.81,2326630.5,2.77,"ARK"
2017-10-21 02:00:00,2.79,2.35,2.78,852927.02,2183493.17,2.56,"ARK"
2017-10-22 02:00:00,2.81,2.5,2.55,580683.8,1533005.23,2.64,"ARK"
2017-10-23 02:00:00,2.63,2.42,2.63,493799.2,1249311.98,2.53,"ARK"
2017-10-24 02:00:00,2.89,2.28,2.36,1364159.52,3901496.23,2.86,"ARK"
2017-10-25 02:00:00,2.98,2.42,2.97,711003.99,1841500.33,2.59,"ARK"
2017-10-26 02:00:00,2.75,2.48,2.66,539743.82,1365551.86,2.53,"ARK"
2017-10-27 02:00:00,2.59,2.44,2.47,617621.52,1556406.23,2.52,"ARK"
2017-10-28 02:00:00,2.53,2.43,2.5,357042.64,867613.62,2.43,"ARK"
2017-10-29 02:00:00,2.7,2.34,2.63,766349.22,1869892.1,2.44,"ARK"
2017-10-30 01:00:00,2.52,2.36,2.43,443029.08,1072130.37,2.42,"ARK"
2017-10-31 01:00:00,2.77,2.43,2.56,923825.61,2254134.49,2.44,"ARK"
2017-11-01 01:00:00,2.88,2.1,2.55,1581226.53,3320575.71,2.1,"ARK"
2017-11-02 01:00:00,2.52,1.77,2.19,1516966.89,3109782.12,2.05,"ARK"
2017-11-03 01:00:00,2.68,1.97,2.12,789571.65,1973929.13,2.5,"ARK"
2017-11-04 01:00:00,2.69,2.29,2.57,669490.98,1553219.07,2.32,"ARK"
2017-11-05 01:00:00,2.49,2.21,2.33,438665.28,1035250.06,2.36,"ARK"
2017-11-06 01:00:00,2.59,2.23,2.23,774087.47,1966182.17,2.54,"ARK"
2017-11-07 01:00:00,2.68,2.44,2.59,562170.63,1422291.69,2.53,"ARK"
2017-11-08 01:00:00,3.38,2.43,2.65,2288438.29,6682239.81,2.92,"ARK"
2017-11-09 01:00:00,3.69,2.71,2.78,3194622.35,10350576.41,3.24,"ARK"
2017-11-10 01:00:00,3.21,2.71,2.98,2319861,6681199.68,2.88,"ARK"
2017-11-11 01:00:00,2.99,2.72,2.78,1614645.47,4650178.95,2.88,"ARK"
2017-11-12 01:00:00,2.7,2.46,2.67,1751426.97,4501167.31,2.57,"ARK"
2017-11-13 01:00:00,3.02,2.82,2.85,1435586.57,4177556.92,2.91,"ARK"
2017-11-14 01:00:00,3.29,2.94,2.94,1711730.36,5460419.85,3.19,"ARK"
2017-11-15 01:00:00,3.58,3.09,3.52,1961585.21,6257456.82,3.19,"ARK"
2017-11-16 01:00:00,3.66,3.01,3.44,1913391.93,5969782.82,3.12,"ARK"
2017-11-17 01:00:00,3.23,2.74,3.06,1655266.88,4916142.63,2.97,"ARK"
2017-11-18 01:00:00,3.56,2.92,2.98,2149529.46,6878494.27,3.2,"ARK"
2017-11-19 01:00:00,3.52,3,3.32,1723498.6,5429020.59,3.15,"ARK"
2017-11-20 01:00:00,3.31,3.08,3.23,1352752.78,4247643.73,3.14,"ARK"
2017-11-21 01:00:00,3.17,2.93,3.08,1530766.1,4745374.91,3.1,"ARK"
2017-11-22 01:00:00,3.39,3.01,3.15,1407271.28,4376613.68,3.11,"ARK"
2017-11-23 01:00:00,3.1,2.8,3.03,1540037.07,4620111.21,3,"ARK"
2017-11-24 01:00:00,3.13,2.87,3.05,1321885.18,4044968.65,3.06,"ARK"
2017-11-25 01:00:00,3.38,3.12,3.27,1668535.01,5305941.33,3.18,"ARK"
2017-11-26 01:00:00,3.69,3.31,3.38,2277676.92,7971869.22,3.5,"ARK"
2017-11-27 01:00:00,4.09,3.4,3.65,3090904.56,11683619.24,3.78,"ARK"
2017-11-28 01:00:00,3.9,3.4,3.84,2342266.78,8033975.06,3.43,"ARK"
2017-11-29 01:00:00,3.43,2.82,3.4,2830385.62,8264726.01,2.92,"ARK"
2017-11-30 01:00:00,3.29,2.87,2.96,1605626.08,4929272.07,3.07,"ARK"
2017-12-01 01:00:00,3.54,3.25,3.35,1527189.5,5207716.2,3.41,"ARK"
2017-12-02 01:00:00,3.64,3.23,3.45,2151149.67,7830184.8,3.64,"ARK"
2017-12-03 01:00:00,4.42,3.75,3.76,4129460.64,16724315.59,4.05,"ARK"
2017-12-04 01:00:00,4.3,3.88,4.19,2727102.87,11481103.08,4.21,"ARK"
2017-12-05 01:00:00,4.94,4.09,4.2,4022972.56,18384984.6,4.57,"ARK"
2017-12-06 01:00:00,5.7,4.1,5.39,3995583.76,16701540.12,4.18,"ARK"
2017-12-07 01:00:00,5.22,3.57,5.13,3502442.86,12538745.44,3.58,"ARK"
2017-12-08 01:00:00,4.67,2.94,3.4,2844983.78,11180786.26,3.93,"ARK"
2017-12-09 01:00:00,4.11,3.56,3.63,2065876.2,7767694.51,3.76,"ARK"
2017-12-10 01:00:00,4.18,3.28,3.81,2070909.81,7103220.65,3.43,"ARK"
2017-12-11 01:00:00,4.02,3.3,3.82,2174875.6,8134034.74,3.74,"ARK"
2017-12-12 01:00:00,4.53,3.75,3.85,2949783.53,12625073.51,4.28,"ARK"
2017-12-13 01:00:00,4.68,3.96,4.08,2495218.3,11028864.89,4.42,"ARK"
2017-12-14 01:00:00,4.83,4.3,4.46,1860802.1,8373609.45,4.5,"ARK"
2017-12-15 01:00:00,4.86,3.78,4.81,2029540.38,8666137.42,4.27,"ARK"
2017-12-16 01:00:00,5.41,4.65,4.69,2452100.03,12235979.15,4.99,"ARK"
2017-12-17 01:00:00,6.59,4.87,4.91,4549709.72,26888784.45,5.91,"ARK"
2017-12-18 01:00:00,6.93,5.73,5.88,2551580.76,17376264.98,6.81,"ARK"
2017-12-19 01:00:00,6.74,5.86,6.3,2642322.88,16910866.43,6.4,"ARK"
2017-12-20 01:00:00,9.14,5.35,6.02,5366000.33,40191342.47,7.49,"ARK"
2017-12-21 01:00:00,8.5,6.95,7.12,2451231.8,19340218.9,7.89,"ARK"
2017-12-22 01:00:00,7.16,4.9,6.89,2200280.99,12695621.31,5.77,"ARK"
2017-12-23 01:00:00,7.15,6.08,6.08,1692500.37,11136652.43,6.58,"ARK"
2017-12-24 01:00:00,6.74,5.89,6.31,2000670.56,12584217.82,6.29,"ARK"
2017-12-25 01:00:00,7.59,6.23,6.32,2970627.02,21002333.03,7.07,"ARK"
2017-12-26 01:00:00,8.87,7.34,8,2865859.43,22525655.12,7.86,"ARK"
2017-12-27 01:00:00,7.94,6.97,7.69,2159311.48,15892532.49,7.36,"ARK"
2017-12-28 01:00:00,7.2,6.23,6.87,1725480.99,11905818.83,6.9,"ARK"
2017-12-29 01:00:00,7.87,6.6,6.89,2605677.62,20506682.87,7.87,"ARK"
2017-12-30 01:00:00,6.86,6.13,6.85,1629198.03,10540911.25,6.47,"ARK"
2017-12-31 01:00:00,7.47,6.71,7.12,1586285.3,11088134.25,6.99,"ARK"
2018-01-01 01:00:00,8.05,6.65,6.77,2442192.41,18462974.62,7.56,"ARK"
2018-01-02 01:00:00,9.14,6.78,8.31,3158744.16,24764554.21,7.84,"ARK"
2018-01-03 01:00:00,8.32,7.28,8.07,2214357.67,16696256.83,7.54,"ARK"
2018-01-04 01:00:00,7.88,6.85,7.55,2328748.9,16371104.77,7.03,"ARK"
2018-01-05 01:00:00,8.83,6.46,7.9,2804876.31,19101207.67,6.81,"ARK"
2018-01-06 01:00:00,8.19,6.37,6.93,1978958.25,15435874.35,7.8,"ARK"
2018-01-07 01:00:00,8.47,7.29,7.36,2355664.03,18892425.52,8.02,"ARK"
2018-01-08 01:00:00,8.13,7.04,7.4,2016787.33,15952787.78,7.91,"ARK"
2018-01-09 01:00:00,10.93,7.62,7.65,5408598.04,50408133.73,9.32,"ARK"
2018-01-10 01:00:00,11.44,9.39,9.62,3992139.37,41079114.12,10.29,"ARK"
2018-01-11 01:00:00,9.66,7.71,9.18,2733809.01,22499248.15,8.23,"ARK"
2018-01-12 01:00:00,9.14,8.22,8.6,992803.13,8826019.83,8.89,"ARK"
2018-01-13 01:00:00,9.38,8.56,9.15,906298.42,8129496.83,8.97,"ARK"
2018-01-14 01:00:00,8.64,7.72,8.58,670811.99,5386620.28,8.03,"ARK"
2018-01-15 01:00:00,8.5,7.29,8.03,861258.4,6709202.94,7.79,"ARK"
2018-01-16 01:00:00,6.45,4.79,6.45,1445604.42,8052016.62,5.57,"ARK"
2018-01-17 01:00:00,6.32,4.98,5.51,975435.04,6047697.25,6.2,"ARK"
2018-01-18 01:00:00,6.55,5.77,6.25,440715.66,2776508.66,6.3,"ARK"
2018-01-19 01:00:00,6.85,6.19,6.49,622298.85,4063611.49,6.53,"ARK"
2018-01-20 01:00:00,7.7,6.65,7.17,673172.1,4752595.03,7.17,"ARK"
2017-09-22 02:00:00,2.02,1.66,1.66,18224.65,35173.57,1.93,"DYN"
2017-09-23 02:00:00,2.46,1.96,2.03,87489.55,173229.31,1.98,"DYN"
2017-09-24 02:00:00,2.24,1.9,1.91,34058.08,67775.58,1.99,"DYN"
2017-09-25 02:00:00,2.14,1.94,2.14,20645.09,40877.28,1.98,"DYN"
2017-09-26 02:00:00,2.22,1.91,1.96,23875.72,46080.14,1.93,"DYN"
2017-09-27 02:00:00,2.37,2.03,2.09,29035.81,60975.2,2.1,"DYN"
2017-09-28 02:00:00,2.25,2.01,2.09,25261.47,52543.86,2.08,"DYN"
2017-09-29 02:00:00,2.1,1.94,2.07,8609.62,17391.43,2.02,"DYN"
2017-09-30 02:00:00,2.23,2.02,2.12,12931.63,27803,2.15,"DYN"
2017-10-01 02:00:00,2.17,2.01,2.17,7566.19,15662.01,2.07,"DYN"
2017-10-02 02:00:00,2.86,2.02,2.07,161368.72,414717.61,2.57,"DYN"
2017-10-03 02:00:00,2.59,2.16,2.52,59412.98,131302.69,2.21,"DYN"
2017-10-04 02:00:00,2.18,2.02,2.16,10202.16,21220.49,2.08,"DYN"
2017-10-05 02:00:00,2.14,2.05,2.13,5307.42,11145.58,2.1,"DYN"
2017-10-06 02:00:00,2.17,2.08,2.12,9718.1,20213.65,2.08,"DYN"
2017-10-07 02:00:00,2.22,2.07,2.11,5156.89,10674.76,2.07,"DYN"
2017-10-08 02:00:00,2.2,2.08,2.16,11257.74,23416.1,2.08,"DYN"
2017-10-09 02:00:00,2.39,1.67,2.16,55250.58,104423.6,1.89,"DYN"
2017-10-10 02:00:00,2.25,1.88,1.88,10794.71,22345.05,2.07,"DYN"
2017-10-11 02:00:00,2.34,1.99,2.09,12133.08,26935.44,2.22,"DYN"
2017-10-12 02:00:00,2.61,2.17,2.5,10190.71,22215.75,2.18,"DYN"
2017-10-13 02:00:00,2.35,1.75,2.26,29530.52,61718.79,2.09,"DYN"
2017-10-14 02:00:00,3.49,1.81,2.16,86196.74,168945.61,1.96,"DYN"
2017-10-15 02:00:00,2.31,1.77,1.91,41335.92,82258.48,1.99,"DYN"
2017-10-16 02:00:00,2.51,2,2.02,15297.21,32736.03,2.14,"DYN"
2017-10-17 02:00:00,2.21,2.02,2.08,9402.26,20402.9,2.17,"DYN"
2017-10-18 02:00:00,2.4,2.16,2.16,14116.02,33878.45,2.4,"DYN"
2017-10-19 02:00:00,2.45,2.12,2.45,2841.75,6166.6,2.17,"DYN"
2017-10-20 02:00:00,2.82,2.28,2.28,19968.63,46726.59,2.34,"DYN"
2017-10-21 02:00:00,2.44,2.24,2.34,10986.72,25269.46,2.3,"DYN"
2017-10-22 02:00:00,2.43,2.25,2.29,2030.88,4813.19,2.37,"DYN"
2017-10-23 02:00:00,2.36,2.19,2.34,3455.93,7568.49,2.19,"DYN"
2017-10-24 02:00:00,2.64,1.95,2.04,18597.51,46865.73,2.52,"DYN"
2017-10-25 02:00:00,3.49,2.52,2.63,45812.66,131482.33,2.87,"DYN"
2017-10-26 02:00:00,3.05,2.8,2.94,6145.18,18005.38,2.93,"DYN"
2017-10-27 02:00:00,3.11,2.76,2.86,8573.75,26407.15,3.08,"DYN"
2017-10-28 02:00:00,3.24,2.75,3.06,7444.98,20994.84,2.82,"DYN"
2017-10-29 02:00:00,3.27,2.99,3.03,2328.77,7102.75,3.05,"DYN"
2017-10-30 01:00:00,3.25,2.97,3.04,3828.51,12442.66,3.25,"DYN"
2017-10-31 01:00:00,3.43,3.1,3.42,4643.93,14535.5,3.13,"DYN"
2017-11-01 01:00:00,3.3,2.96,3.27,9278.68,28671.12,3.09,"DYN"
2017-11-02 01:00:00,3.48,2.84,3.22,187974.29,584600.04,3.11,"DYN"
