"time","close","high","low","open","volumefrom","volumeto","symbol"
2017-09-22 02:00:00,0.03661,0.03666,0.02469,0.03314,1646.11,60.06,"CND"
2017-09-23 02:00:00,0.03649,0.03661,0.03647,0.03661,1043.62,38.08,"CND"
2017-09-24 02:00:00,0.03647,0.03649,0.03647,0.03649,135.99,4.96,"CND"
2017-09-25 02:00:00,0.02848,0.03647,0.02848,0.03647,127.76,3.89,"CND"
2017-09-26 02:00:00,0.03627,0.03642,0.02848,0.02848,554.7,19.36,"CND"
2017-09-27 02:00:00,0.03642,0.03642,0.0176,0.03627,30210.62,761.82,"CND"
2017-09-28 02:00:00,0.04194,0.04194,0.02239,0.03642,810.43,30.95,"CND"
2017-09-29 02:00:00,0.0382,0.04194,0.0275,0.04194,1421.43,54.54,"CND"
2017-09-30 02:00:00,0.049,0.049,0.03,0.0382,3808.76,156.7,"CND"
2017-10-01 02:00:00,0.048,0.049,0.0335,0.049,2899.68,139.38,"CND"
2017-10-02 02:00:00,0.0371,0.048,0.035,0.048,19902.99,750.85,"CND"
2017-10-03 02:00:00,0.03503,0.04777,0.03501,0.0371,437.97,19.28,"CND"
2017-10-04 02:00:00,0.03901,0.04758,0.03503,0.03503,178.75,7.33,"CND"
2017-10-05 02:00:00,0.03942,0.04759,0.03501,0.03901,3560.03,148.28,"CND"
2017-10-06 02:00:00,0.04893,0.051,0.03941,0.03942,16339.26,731.19,"CND"
2017-10-07 02:00:00,0.0587,0.05874,0.03942,0.04893,39.3,2.19,"CND"
2017-10-08 02:00:00,0.05128,0.06939,0.03946,0.0587,20924.92,1150.57,"CND"
2017-10-09 02:00:00,0.05997,0.06073,0.04506,0.05128,120.85,5.77,"CND"
2017-10-10 02:00:00,0.05972,0.05997,0.03702,0.05997,7605.79,369.45,"CND"
2017-10-11 02:00:00,0.03602,0.05972,0.03602,0.05972,380.9,13.73,"CND"
2017-10-12 02:00:00,0.04776,0.05289,0.01518,0.03602,101074.38,2689.16,"CND"
2017-10-13 02:00:00,0.04499,0.04776,0.01605,0.04776,14786.05,452.81,"CND"
2017-10-14 02:00:00,0.025,0.05889,0.02001,0.04499,45633.23,1954.07,"CND"
2017-10-15 02:00:00,0.0194,0.04482,0.01931,0.025,103001.5,2247.95,"CND"
2017-10-16 02:00:00,0.01955,0.03289,0.01955,0.02999,3433.72,73.97,"CND"
2017-10-17 02:00:00,0.02122,0.0329,0.01955,0.01955,21171.8,568.96,"CND"
2017-10-18 02:00:00,0.01997,0.03393,0.017,0.0339,81485.79,1628.24,"CND"
2017-10-19 02:00:00,0.01789,0.0229,0.00011,0.01997,219775.63,3302.47,"CND"
2017-10-20 02:00:00,0.01567,0.01789,0.007,0.01789,140647.21,2235.41,"CND"
2017-10-21 02:00:00,0.01162,0.01723,0.01162,0.01567,1974585.95,27240.06,"CND"
2017-10-22 02:00:00,0.014,0.01619,0.01162,0.01162,68778.82,960.29,"CND"
2017-10-23 02:00:00,0.01257,0.01588,0.012,0.014,178392.22,2413.93,"CND"
2017-10-24 02:00:00,0.01566,0.01598,0.01256,0.01257,259765.25,3906.8,"CND"
2017-10-25 02:00:00,0.01171,0.01576,0.01171,0.01566,100534.44,1270.24,"CND"
2017-10-26 02:00:00,0.01203,0.01239,0.01103,0.01171,29939.65,349.02,"CND"
2017-10-27 02:00:00,0.01107,0.01391,0.01106,0.01203,57631.08,678.91,"CND"
2017-10-28 02:00:00,0.01184,0.01368,0.01107,0.01107,11890.09,133.62,"CND"
2017-10-29 02:00:00,0.01183,0.0137,0.01132,0.01184,41410.4,514.17,"CND"
2017-10-30 01:00:00,0.0091,0.01359,0.009,0.01183,52443.17,585.69,"CND"
2017-10-31 01:00:00,0.0101,0.0124,0.00902,0.0091,292567.94,2643.92,"CND"
