"time","close","high","low","open","volumefrom","volumeto","symbol"
2017-10-31 01:00:00,0.04481,0.054,0.04481,0.054,22.67,1.2,"RUPX"
2017-11-01 01:00:00,0.04481,0.04481,0.04481,0.04481,7.33,0.3286,"RUPX"
2017-11-02 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-03 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-04 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-05 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-06 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-07 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-08 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-09 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-10 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-11 01:00:00,0.04481,0.04481,0.04481,0.04481,0,0,"RUPX"
2017-11-12 01:00:00,3.001e-05,0.04481,3.001e-05,0.04481,7969.42,0.2392,"RUPX"
2017-11-13 01:00:00,3.001e-05,3.001e-05,3.001e-05,3.001e-05,0,0,"RUPX"
2017-11-14 01:00:00,3.001e-05,3.001e-05,3.001e-05,3.001e-05,0,0,"RUPX"
2017-11-15 01:00:00,3.001e-05,3.001e-05,3.001e-05,3.001e-05,0,0,"RUPX"
2017-11-16 01:00:00,3.001e-05,3.001e-05,3.001e-05,3.001e-05,0,0,"RUPX"
2017-11-17 01:00:00,3.001e-05,3.001e-05,3.001e-05,3.001e-05,0,0,"RUPX"
2017-11-18 01:00:00,3.001e-05,3.001e-05,3.001e-05,3.001e-05,0,0,"RUPX"
2017-11-19 01:00:00,0.027,0.03778,3.001e-05,3.001e-05,208.62,7.23,"RUPX"
2017-11-20 01:00:00,0.027,0.027,0.027,0.027,0,0,"RUPX"
2017-11-21 01:00:00,0.027,0.027,0.027,0.027,0,0,"RUPX"
2017-11-22 01:00:00,0.027,0.027,0.027,0.027,0,0,"RUPX"
2017-11-23 01:00:00,0.027,0.027,0.027,0.027,0,0,"RUPX"
2017-11-24 01:00:00,0.027,0.027,0.027,0.027,0,0,"RUPX"
2017-11-25 01:00:00,0.027,0.027,0.027,0.027,0,0,"RUPX"
2017-11-26 01:00:00,0.027,0.027,0.027,0.027,0,0,"RUPX"
2017-11-27 01:00:00,0.027,0.027,0.027,0.027,0,0,"RUPX"
2017-11-28 01:00:00,0.027,0.027,0.027,0.027,0,0,"RUPX"
2017-11-29 01:00:00,0.01444,0.027,0.0101,0.027,79,1.1,"RUPX"
2017-11-30 01:00:00,0.01444,0.01444,0.01444,0.01444,53,0.7656,"RUPX"
2017-12-01 01:00:00,0.001,0.01444,0.001,0.01444,212.08,0.2121,"RUPX"
2017-12-02 01:00:00,0.001,0.001,0.001,0.001,0,0,"RUPX"
2017-12-03 01:00:00,0.001,0.001,0.001,0.001,0,0,"RUPX"
2017-12-04 01:00:00,0.001,0.001,0.001,0.001,0,0,"RUPX"
2017-12-05 01:00:00,0.001,0.001,0.001,0.001,0,0,"RUPX"
2017-12-06 01:00:00,0.001,0.001,0.001,0.001,0,0,"RUPX"
2017-12-07 01:00:00,0.001,0.001,0.001,0.001,0,0,"RUPX"
2017-12-08 01:00:00,0.001,0.001,0.001,0.001,0,0,"RUPX"
